index,BIC
"(0, 0, 0)",53.876733279783586
"(10, 0, 0)",87.54969157964833
"(9, 0, 2)",90.9169874096348
"(5, 0, 6)",90.9169874096348
"(11, 0, 1)",94.28428323962127
"(11, 0, 2)",97.65157906960775
"(10, 0, 4)",101.01887489959422
"(9, 0, 5)",101.01887489959422
"(8, 0, 2)",121.21045058318133
"(6, 0, 2)",121.75013492385241
"(10, 0, 1)",127.05274759360046
"(7, 0, 2)",155.23629819418545
"(9, 0, 1)",424.4585694105186
"(10, 0, 5)",16923.69467321014
"(11, 0, 6)",19586.61531738981
"(11, 0, 7)",25589.657074291514
"(11, 0, 4)",29883.561247711536
"(9, 0, 7)",30911.54471602026
"(9, 0, 6)",40359.31966915822
"(10, 0, 6)",40910.97221306904
"(8, 0, 9)",42199.59100992398
"(10, 0, 7)",48760.72751040172
"(9, 0, 4)",50400.363676731744
"(9, 0, 9)",62664.13973112302
"(6, 0, 6)",62732.35118274825
"(8, 0, 7)",64321.17314033816
"(8, 0, 6)",68958.37618725092
"(11, 0, 8)",69150.73724684973
"(8, 0, 5)",75505.88094040056
"(10, 0, 9)",75616.8277625643
"(11, 0, 9)",78509.60495942818
"(10, 0, 8)",81822.23606471198
"(10, 0, 3)",84197.2024643774
"(11, 0, 5)",87515.51284438798
"(8, 0, 4)",88830.89573845235
"(7, 0, 7)",91978.59564685893
"(6, 0, 7)",98870.31075240833
"(7, 0, 6)",102118.44021577602
"(9, 0, 8)",113390.55184617778
"(7, 0, 5)",113915.50321786443
"(10, 0, 2)",129108.65968419223
"(6, 0, 9)",133891.28060323597
"(11, 0, 3)",134528.45773446234
"(7, 0, 8)",142721.19067463424
"(6, 0, 3)",145670.36691619013
"(8, 0, 8)",164528.91115210927
"(7, 0, 3)",171446.4323215481
"(9, 0, 3)",182153.16678076645
"(7, 0, 9)",192399.37487429843
"(6, 0, 4)",198676.94505953
"(7, 0, 4)",200784.51381252895
"(6, 0, 8)",221442.6559208838
"(6, 0, 5)",291188.4749722976
"(8, 0, 3)",296819.58104888216
"(5, 0, 1)",299387.02704430243
"(7, 0, 1)",378971.5356600332
"(5, 0, 0)",383502.52834166645
"(5, 0, 8)",450024.1733503239
"(8, 0, 1)",485194.9636805417
"(5, 0, 9)",660777.7182557518
"(6, 0, 1)",667864.1282200086
"(11, 0, 0)",682182.2030978501
"(5, 0, 4)",721682.944004462
"(5, 0, 2)",1083062.116133953
"(5, 0, 3)",1298677.5182217348
"(5, 0, 7)",1498341.9776565752
"(5, 0, 5)",1573320.9268675419
"(7, 0, 0)",1889583.2846920341
"(4, 0, 0)",1956774.605955261
"(4, 0, 1)",2079713.0053283956
"(8, 0, 0)",2909811.915468777
"(6, 0, 0)",3342718.330678811
"(9, 0, 0)",3898361.9074537493
"(4, 0, 4)",3937436.264522537
"(4, 0, 3)",4611179.638681506
"(3, 0, 8)",5000511.948477857
"(4, 0, 2)",5524719.045442466
"(3, 0, 0)",6280827.446067398
"(3, 0, 1)",6411408.565609765
"(2, 0, 8)",6652450.6219067685
"(1, 0, 1)",7457610.414894456
"(3, 0, 7)",7526600.169636843
"(3, 0, 9)",7753332.536892048
"(4, 0, 8)",7774497.347199263
"(3, 0, 4)",7989297.35303386
"(2, 0, 9)",8161525.9396256935
"(3, 0, 6)",8476423.268281557
"(3, 0, 3)",10168625.78301157
"(4, 0, 9)",11300558.716801764
"(4, 0, 6)",11309013.364869272
"(2, 0, 4)",11582828.053627668
"(3, 0, 5)",11756342.669765307
"(2, 0, 6)",11980835.757735739
"(4, 0, 7)",12765550.22247945
"(2, 0, 3)",12824442.757047873
"(4, 0, 5)",13184713.27032667
"(2, 0, 7)",13822812.041132813
"(2, 0, 5)",13868104.868554039
"(3, 0, 2)",14228374.946112402
"(2, 0, 1)",14582957.134504568
"(2, 0, 2)",22739223.683559295
"(2, 0, 0)",28150258.998693466
"(1, 0, 8)",32139508.175218992
"(0, 0, 9)",58966203.540381745
"(0, 0, 8)",86443260.2126857
"(1, 0, 6)",106934739.67078404
"(1, 0, 9)",117274126.0784462
"(0, 0, 6)",126975494.1241451
"(1, 0, 2)",151006430.42694202
"(0, 0, 7)",152093323.62539327
"(1, 0, 4)",173317969.19958922
"(0, 0, 5)",179159780.0272407
"(1, 0, 5)",184593055.63366205
"(1, 0, 3)",194946461.9420208
"(1, 0, 7)",255434019.63927498
"(0, 0, 3)",323899120.3603652
"(0, 0, 2)",585945653.599465
"(0, 0, 1)",694104857.149236
"(1, 0, 0)",819951150.0207524
