index,RMSE
"(1, 1, 1)",446240.9003973588
"(0, 1, 2)",477982.9688520471
"(1, 0, 0)",482947.16659059963
"(0, 0, 0)",485147.80460030993
"(1, 1, 2)",505395.6539725274
"(0, 1, 3)",554420.0064395715
"(1, 1, 3)",563817.4939320725
"(0, 1, 4)",570334.1682173611
"(1, 1, 4)",579233.5710975756
"(1, 1, 5)",588528.9193725316
"(0, 1, 6)",588754.9353538273
"(0, 1, 5)",588800.0330987896
"(1, 1, 6)",589042.377513603
"(2, 1, 6)",591336.7694044178
"(2, 1, 7)",591385.8676731908
"(2, 1, 5)",591443.3613020297
"(3, 1, 8)",591473.6344572043
"(1, 1, 7)",591497.7260967739
"(4, 1, 8)",591572.1892373216
"(0, 1, 7)",591645.2265986812
"(3, 1, 9)",591666.7400539834
"(2, 1, 8)",591714.7986738178
"(4, 1, 9)",591751.0385525379
"(3, 1, 7)",591854.2991206939
"(1, 1, 8)",591859.1181945183
"(0, 1, 8)",592106.3835143745
"(4, 1, 6)",592114.1470305736
"(6, 1, 6)",592162.6391419898
"(3, 1, 4)",592202.2518794669
"(4, 1, 7)",592296.1719956596
"(2, 1, 9)",592391.8141133185
"(8, 1, 9)",592393.0985668089
"(1, 1, 9)",592394.0422509009
"(3, 1, 5)",592514.1543449454
"(0, 1, 9)",592531.4972680125
"(5, 1, 9)",592578.4267875114
"(8, 1, 7)",592594.461519874
"(3, 1, 3)",592598.1025313641
"(6, 1, 8)",592605.4527467033
"(7, 1, 6)",592617.642017271
"(4, 1, 5)",592622.4465983247
"(3, 1, 6)",592634.5132835128
"(5, 1, 6)",592659.3072749043
"(2, 1, 0)",592665.2455972814
"(10, 1, 8)",592674.4771908029
"(11, 1, 8)",592675.4974856334
"(5, 1, 8)",592676.5572548495
"(2, 1, 3)",592680.942235788
"(6, 1, 7)",592684.3786827471
"(9, 1, 9)",592689.0647205394
"(4, 1, 2)",592701.4517333596
"(5, 1, 3)",592707.4755362748
"(7, 1, 9)",592707.5464486092
"(3, 1, 0)",592710.9400140183
"(4, 1, 0)",592712.4242163241
"(5, 1, 0)",592712.5320219652
"(6, 1, 0)",592712.5337842365
"(8, 1, 0)",592712.5340002065
"(9, 1, 0)",592712.5345152408
"(10, 1, 0)",592712.5348562002
"(11, 1, 0)",592712.5349734487
"(7, 1, 0)",592712.5353302795
"(7, 1, 8)",592714.005313616
"(10, 1, 4)",592716.0313553268
"(8, 1, 4)",592716.0511053801
"(11, 1, 4)",592716.1578759797
"(6, 1, 3)",592716.1872333179
"(8, 1, 3)",592716.2244251433
"(7, 1, 3)",592716.2245307246
"(9, 1, 3)",592716.2255220145
"(11, 1, 3)",592716.2258047969
"(10, 1, 3)",592716.2270374409
"(7, 1, 4)",592716.4879947668
"(9, 1, 4)",592716.5188367373
"(8, 1, 6)",592723.6876320234
"(11, 1, 6)",592723.7167882177
"(10, 1, 6)",592723.7213881265
"(9, 1, 6)",592723.7256206342
"(4, 1, 1)",592725.7787737245
"(5, 1, 1)",592728.7611419505
"(9, 1, 1)",592728.8132564052
"(7, 1, 1)",592728.8179773951
"(10, 1, 1)",592728.8210769115
"(8, 1, 1)",592728.8211534182
"(11, 1, 1)",592728.8232596848
"(6, 1, 1)",592728.8254732153
"(3, 1, 1)",592729.428864678
"(3, 1, 2)",592730.5321237181
"(6, 1, 9)",592734.6833106311
"(6, 1, 4)",592735.5272538565
"(6, 1, 5)",592736.2368875416
"(10, 1, 2)",592738.4657087775
"(11, 1, 2)",592738.4659830529
"(7, 1, 2)",592738.4663824152
"(9, 1, 2)",592738.4668699885
"(8, 1, 2)",592738.4669859948
"(6, 1, 2)",592738.4675906354
"(5, 1, 2)",592738.5966765893
"(2, 1, 1)",592742.6856485074
"(9, 1, 7)",592750.4273999012
"(10, 1, 7)",592750.568427472
"(11, 1, 7)",592750.5740711825
"(4, 1, 3)",592756.3906342718
"(5, 1, 4)",592757.8485612185
"(4, 1, 4)",592759.6638959481
"(11, 1, 5)",592760.5174347007
"(10, 1, 5)",592760.5292543651
"(9, 1, 5)",592760.5310844443
"(8, 1, 5)",592760.7280120535
"(11, 1, 9)",592762.411277962
"(2, 1, 2)",592770.7564671463
"(9, 1, 8)",592787.7997867455
"(5, 1, 5)",592789.9840740698
"(7, 1, 7)",592790.8575465509
"(7, 1, 5)",592791.1763030853
"(8, 1, 8)",592798.6432326961
"(5, 1, 7)",592873.7252087393
"(10, 1, 9)",592915.2264502954
"(2, 1, 4)",594459.0417784184
"(0, 0, 1)",594622.5379003827
"(1, 0, 1)",622147.3364240952
"(0, 0, 2)",684657.321077437
"(1, 0, 3)",684994.0840960515
"(2, 0, 3)",701007.0955006517
"(1, 0, 2)",704697.7120816957
"(1, 0, 4)",712761.3438696578
"(1, 0, 5)",713047.6287291751
"(2, 0, 6)",713141.72010334
"(2, 0, 5)",713143.2425230027
"(3, 0, 5)",713200.1776150587
"(2, 0, 4)",713225.9068023786
"(5, 0, 6)",713432.32950553
"(3, 0, 7)",713923.5262312881
"(3, 0, 6)",714167.1367899498
"(4, 0, 6)",714572.9806827032
"(4, 0, 8)",714721.6939610732
"(4, 0, 7)",714848.5013997057
"(5, 0, 9)",714865.2497677143
"(5, 0, 8)",715267.8936262395
"(5, 0, 7)",715534.490680225
"(6, 0, 9)",715569.6612136496
"(7, 0, 9)",716063.3231299057
"(6, 0, 8)",716091.1298594766
"(7, 0, 8)",716169.9867379959
"(3, 0, 8)",716236.9809194525
"(2, 0, 7)",716268.393812921
"(4, 0, 9)",716301.4294869994
"(2, 0, 8)",716303.399202982
"(3, 0, 9)",716384.1216662038
"(9, 0, 8)",716414.8006956856
"(6, 0, 7)",716421.8224824519
"(10, 0, 7)",716456.176807566
"(6, 0, 5)",716460.3734546804
"(8, 0, 9)",716461.0635980325
"(3, 0, 3)",716461.6530160555
"(6, 0, 3)",716466.3129268942
"(8, 0, 4)",716501.8710247376
"(10, 0, 5)",716504.4080921814
"(10, 0, 9)",716510.6561379944
"(9, 0, 3)",716513.8634951346
"(8, 0, 5)",716515.8251073485
"(11, 0, 9)",716523.4339703826
"(8, 0, 7)",716527.1432162123
"(4, 0, 4)",716528.3422558608
"(2, 0, 9)",716529.6931779973
"(10, 0, 6)",716531.0447831517
"(5, 0, 2)",716534.5484479362
"(9, 0, 4)",716535.0405393289
"(11, 0, 3)",716535.1205661845
"(9, 0, 7)",716535.2929192501
"(6, 0, 4)",716541.2615814629
"(7, 0, 3)",716541.3187399495
"(11, 0, 5)",716541.9437999612
"(7, 0, 5)",716543.7379725652
"(10, 0, 8)",716545.106364739
"(8, 0, 3)",716545.6710878939
"(9, 0, 6)",716549.7527277721
"(9, 0, 5)",716550.6630135673
"(11, 0, 6)",716552.2147698663
"(4, 0, 3)",716556.3981657214
"(7, 0, 6)",716557.1452308532
"(5, 0, 4)",716557.1869628738
"(10, 0, 3)",716558.997711182
"(7, 0, 4)",716559.8236913306
"(8, 0, 6)",716560.9884730149
"(10, 0, 2)",716562.7261138629
"(11, 0, 8)",716564.2831375637
"(11, 0, 2)",716568.6944288224
"(7, 0, 7)",716574.796822439
"(11, 0, 4)",716577.7491315021
"(6, 0, 2)",716579.1191473324
"(9, 0, 2)",716580.9212885699
"(8, 0, 2)",716584.0268167482
"(5, 0, 1)",716584.1749823757
"(5, 0, 5)",716588.5895221754
"(7, 0, 2)",716591.0043634909
"(11, 0, 7)",716592.685270531
"(10, 0, 4)",716597.1380177457
"(3, 0, 2)",716597.6163027657
"(4, 0, 5)",716599.9197743383
"(8, 0, 8)",716604.951002869
"(4, 0, 2)",716612.8905767123
"(5, 0, 3)",716615.3043490303
"(1, 0, 6)",716635.3863460345
"(1, 0, 7)",716649.6574166628
"(3, 0, 1)",716674.6170209808
"(6, 0, 6)",716674.8919041672
"(4, 0, 1)",716682.9535099252
"(7, 0, 1)",716697.2047184206
"(9, 0, 9)",716700.9618256328
"(8, 0, 1)",716707.0009500595
"(9, 0, 1)",716717.74247897
"(6, 0, 1)",716742.7993494951
"(10, 0, 1)",716747.6470192507
"(11, 0, 1)",716768.9464478854
"(1, 0, 8)",716788.3398283971
"(1, 0, 9)",716875.4437705235
"(0, 0, 3)",718060.4368448127
"(0, 0, 4)",718452.7567100103
"(3, 0, 4)",720069.9772965584
"(0, 0, 5)",721884.3023676892
"(0, 0, 6)",722104.3561314658
"(0, 0, 7)",722430.2954371579
"(2, 0, 0)",722445.9397946881
"(2, 0, 1)",722446.7085174435
"(5, 0, 0)",722448.7511683416
"(3, 0, 0)",722449.871790936
"(4, 0, 0)",722452.5839568027
"(2, 0, 2)",722457.6056802633
"(9, 0, 0)",722463.1414831238
"(10, 0, 0)",722471.7805339571
"(0, 0, 8)",722472.4064019024
"(0, 0, 9)",722477.1363016556
"(6, 0, 0)",722480.263105385
"(7, 0, 0)",722480.8532101911
"(8, 0, 0)",722494.2403496392
"(11, 0, 0)",722614.1270442453
"(0, 1, 0)",1048748.3634761993
"(1, 1, 0)",1054333.8350970938
"(0, 1, 1)",1061474.6384550626
